fips,lq_fam,place_total,H,H_norm,n_cat,total,typology
55025,0.6893231599507811,10402932416.330097,2.8496554207854303,0.562183720011369,159,10402932416.330097,"High-LQ (A), high-diversity — ""Diversified specialist"""
51153,0.734042405941969,54797868485.69892,3.1253504627055024,0.6128298666125847,164,54797868485.69892,"High-LQ (A), high-diversity — ""Diversified specialist"""
51059,1.0667246277522742,616240126143.6971,2.8309864702278484,0.5481323881611386,175,616240126143.6971,"High-LQ (A), high-diversity — ""Diversified specialist"""
23023,0.29407817058209484,32729544571.8877,0.31164139514384787,0.06604672452921688,112,32729544571.8877,"High-LQ (A), low-diversity — ""Dependent"""
17031,1.123036159911024,78562748471.73851,3.3369757497177424,0.6475425829348885,173,78562748471.73851,"High-LQ (A), high-diversity — ""Diversified specialist"""
34023,1.1122827027701094,9193450535.849201,3.2258746990994527,0.6396198266685009,155,9193450535.849201,"High-LQ (A), high-diversity — ""Diversified specialist"""
37081,0.6102590306252328,4701020607.320489,3.009790758178506,0.6244014415371024,124,4701020607.320489,"High-LQ (A), high-diversity — ""Diversified specialist"""
35028,0.0029455875111940003,65510165439.10161,0.10740329828379322,0.023809940905636144,91,65510165439.10161,"Low-LQ, low-diversity"
25027,1.0742053586488334,3810746410.2933946,3.603745421329381,0.7173230745388681,152,3810746410.2933946,"High-LQ (A), high-diversity — ""Diversified specialist"""
42027,8.950638873797228,5532836899.779796,1.6407598918708932,0.34038673250510554,124,5532836899.779796,"High-LQ (A), low-diversity — ""Dependent"""
29161,2.8733848249838965,189610587.80703318,2.8774360377694923,0.645983765161209,86,189610587.80703318,"High-LQ (A), high-diversity — ""Diversified specialist"""
08123,0.3649584258641099,638637316.5710068,2.740258742081133,0.5754218093668828,117,638637316.5710068,"High-LQ (A), high-diversity — ""Diversified specialist"""
28075,0.005036782449548266,762501981.4005574,2.9634664700665225,0.6190018968773053,120,762501981.4005574,"Low-LQ, high-diversity"
20177,0.04171109743311465,1220586630.7421026,3.3951383690573516,0.6986151082725378,129,1220586630.7421026,"Low-LQ, high-diversity"
48121,0.10224604233939717,3864564935.8371816,2.7848728913079768,0.559578437474028,145,3864564935.8371816,"High-LQ (A), high-diversity — ""Diversified specialist"""
16013,0.5879591202592879,51402418.44031504,2.5197299538219267,0.6058669847930451,64,51402418.44031504,"High-LQ (A), high-diversity — ""Diversified specialist"""
04005,0.3663931432547968,2314695501.1464677,3.14326166608864,0.6315912863282548,145,2314695501.1464677,"High-LQ (A), high-diversity — ""Diversified specialist"""
08041,2.631354871634629,61377793491.59253,2.802493916283306,0.547576651906882,167,61377793491.59253,"High-LQ (A), high-diversity — ""Diversified specialist"""
26065,0.5505583664081272,8572928544.006311,2.0774832174456694,0.4288610617977684,127,8572928544.006311,"High-LQ (A), low-diversity — ""Dependent"""
08013,3.8662311586164155,13495085152.358843,2.8782534463848783,0.5736681110081463,151,13495085152.358843,"High-LQ (A), high-diversity — ""Diversified specialist"""
13135,0.07651888917182334,8468602204.365434,3.029423581118622,0.6030047029478944,152,8468602204.365434,"Low-LQ, high-diversity"
25005,0.7625618099748466,24009096137.420067,1.716582616232216,0.34994627085471486,135,24009096137.420067,"High-LQ (A), low-diversity — ""Dependent"""
42029,0.13590994369615805,41221323048.132126,0.7601900282599773,0.15092260901873605,154,41221323048.132126,"High-LQ (A), low-diversity — ""Dependent"""
37021,0.4206288557745975,2934665870.1622777,3.3852665549591325,0.6783513244779209,147,2934665870.1622777,"High-LQ (A), high-diversity — ""Diversified specialist"""
22051,0.010680561302421584,13496353303.52148,2.2928633708334076,0.4607165039370198,145,13496353303.52148,"Low-LQ, high-diversity"
53041,0.003981810845264715,215456125.8207849,2.0808086693235093,0.4696219148276938,84,215456125.8207849,"Low-LQ, low-diversity"
33013,0.541345546478626,852563391.5928582,3.0880810999714874,0.6314643431387048,133,852563391.5928582,"High-LQ (A), high-diversity — ""Diversified specialist"""
23025,0.02848827166573034,103652676.88150905,2.024551522078446,0.498603604784001,58,103652676.88150905,"Low-LQ, low-diversity"
50011,0.0015798640639677756,697514589.4880781,1.770359099531492,0.39849157571059746,85,697514589.4880781,"Low-LQ, low-diversity"
08069,0.519157525023622,7226820413.024991,2.8222903022729766,0.5588853025158177,156,7226820413.024991,"High-LQ (A), high-diversity — ""Diversified specialist"""
26085,0.09422091932369085,108739238.58057587,0.7160628436541789,0.19685110186037222,38,108739238.58057587,"High-LQ (A), low-diversity — ""Dependent"""
18097,0.2594628222830761,44846179565.03804,3.065994981046031,0.603375516062754,161,44846179565.03804,"High-LQ (A), high-diversity — ""Diversified specialist"""
42081,1.3829213331162258,721052693.7397697,2.645309110700852,0.5616927798793442,111,721052693.7397697,"High-LQ (A), high-diversity — ""Diversified specialist"""
09011,0.38347501861599026,135296652942.32462,0.503087059102341,0.10000860103310558,153,135296652942.32462,"High-LQ (A), low-diversity — ""Dependent"""
56023,0.0037711976218343813,40227689.657794535,2.5166436170222433,0.600680431200641,66,40227689.657794535,"Low-LQ, high-diversity"
31109,0.23889278659750038,4179295877.574494,1.98042093709277,0.39738709080009593,146,4179295877.574494,"High-LQ (A), low-diversity — ""Dependent"""
51199,0.12035207156435689,3425932831.6318693,2.9390689293255137,0.5964923093323015,138,3425932831.6318693,"High-LQ (A), high-diversity — ""Diversified specialist"""
51700,0.03639115106666516,79876251799.84323,1.4120201844520754,0.2785651746650876,159,79876251799.84323,"Low-LQ, low-diversity"
19113,0.8061351441430363,29268327597.89997,2.3233201242452037,0.47363710070994663,135,29268327597.89997,"High-LQ (A), high-diversity — ""Diversified specialist"""
41057,0.2653520051733095,254565710.77828008,1.610551434894024,0.3741930942069107,74,254565710.77828008,"High-LQ (A), low-diversity — ""Dependent"""
51041,0.3559526951213945,3111706782.1302485,2.676644748560149,0.5424377116654346,139,3111706782.1302485,"High-LQ (A), high-diversity — ""Diversified specialist"""
36071,0.05246585715749759,7350273808.067331,2.6495861022713725,0.5294993072014493,149,7350273808.067331,"Low-LQ, high-diversity"
41035,0.01936971026491634,861235309.1101078,2.3848916906161612,0.49073739728630794,129,861235309.1101078,"Low-LQ, high-diversity"
04013,0.7189132519812873,152350583010.6915,3.1145495885300947,0.607136663238545,169,152350583010.6915,"High-LQ (A), high-diversity — ""Diversified specialist"""
23005,0.08439200937976885,7994258783.656637,0.8860591812462473,0.1800940277216841,137,7994258783.656637,"High-LQ (A), low-diversity — ""Dependent"""
20103,0.39412275590688395,10213996551.859808,2.8094212831370484,0.5718743425869858,136,10213996551.859808,"High-LQ (A), high-diversity — ""Diversified specialist"""
06071,0.21048551668257434,26144527447.27811,3.455586931593705,0.6767770923636366,165,26144527447.27811,"High-LQ (A), high-diversity — ""Diversified specialist"""
48113,0.20647906852699707,169394092657.7623,1.9790379954051143,0.38490227407085503,171,169394092657.7623,"High-LQ (A), low-diversity — ""Dependent"""
